,Date,Attack Type,Target,Acute Effect,Latent Effect,Fight Context,Continent,Weapon Type,Fight Ended,Mortality
891,1858.0,Cut,Various,Incapacitation,Ineffective,Foot vs Horse,Asia,Sword_cutting,True,False
892,1858.0,Cut,Various,Incapacitation,Ineffective,Foot vs Horse,Asia,Sword_cutting,True,False
893,1858.0,Cut,Various,Incapacitation,Ineffective,Foot vs Horse,Asia,Sword_cutting,True,False
894,1858.0,Cut,Arm,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
895,1858.0,Cut,Torso,Death,,Foot vs Horse,Asia,Sword_cutting,True,True
896,1858.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Asia,Sword_cutting,True,False
897,1858.0,Cut,Head,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
898,1858.0,Strike,Head,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
899,1858.0,Strike,Head,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
900,1840.0,Cut,Hand,Ineffective,Ineffective,Foot vs Horse,Asia,Sword_cutting,False,False
901,1840.0,Strike,Head,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
902,1840.0,Strike,Head,Ineffective,Ineffective,Foot vs Horse,Asia,Sword_cutting,False,False
903,1858.0,Cut,Head,Death,,Foot,Asia,Sword_cutting,True,True
904,1858.0,Cut,Head,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
905,1858.0,Cut,Torso,Ineffective,Ineffective,Foot vs Horse,Asia,Sword_cutting,False,False
906,1858.0,Cut,Torso,Ineffective,Ineffective,Foot vs Horse,Asia,Sword_cutting,False,False
907,1858.0,Cut,Hand,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
908,1858.0,Cut,Hand,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
909,1858.0,Cut,Head,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
910,1858.0,Cut,unspecified,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
911,1858.0,Cut,unspecified,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
912,1858.0,Cut,unspecified,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
913,1858.0,Cut,unspecified,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
914,1858.0,Cut,unspecified,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
915,1858.0,Cut,unspecified,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
916,1858.0,Cut,unspecified,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
917,1858.0,Cut,unspecified,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
918,1858.0,Cut,unspecified,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
919,1858.0,Cut,unspecified,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
920,1858.0,Cut,unspecified,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
921,1858.0,Cut,Head,Ineffective,Ineffective,unspecified,Asia,Sword_cutting,False,False
922,1858.0,Cut,Torso,Incapacitation,Death,Foot,Asia,Sword_cutting,True,True
923,1858.0,Cut,Head,Death,,unspecified,Asia,Sword_cutting,True,True
924,1858.0,Cut,Torso,Incapacitation,Incapacitation,unspecified,Asia,Sword_cutting,True,False
925,1858.0,Cut,Head,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
926,1858.0,Cut,Torso,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
927,1858.0,Cut,Head,Incapacitation,Ineffective,Foot vs Horse,Asia,Sword_cutting,True,False
928,1858.0,Cut,Head,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
929,1858.0,Thrust,Torso,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
930,1858.0,Cut,Leg,Incapacitation,Ineffective,Foot,Asia,Sword_cutting,True,False
931,1858.0,Cut,Hand,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
932,1858.0,Cut,Hand,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
933,1858.0,Cut,Hand,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
934,1858.0,Cut,Head,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
935,1858.0,Cut,Head,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
936,1858.0,Cut,Head,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
937,1858.0,Thrust,Torso,Ineffective,Death,Horse,Asia,Sword_cutting,False,True
938,1858.0,Cut,Head,Incapacitation,Incapacitation,Horse,Asia,Sword_cutting,True,False
939,1858.0,Cut,Head,Death,,unspecified,Asia,Sword_cutting,True,True
940,1858.0,Thrust,Torso,Ineffective,Death,Foot,Asia,Sword_cutting,False,True
941,1858.0,Cut,Arm,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
942,1858.0,Cut,Arm,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
943,1858.0,Cut,Arm,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
944,1858.0,Cut,Arm,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
945,1858.0,Cut,Arm,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
946,1858.0,Cut,Arm,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
947,1858.0,Cut,Arm,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
948,1858.0,Cut,Head,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
949,1858.0,Cut,Head,Ineffective,Ineffective,Foot vs Horse,Asia,Sword_cutting,False,False
950,1858.0,Strike,Torso,Ineffective,Ineffective,Foot,Asia,Club,False,False
951,1858.0,Thrust,Torso,Ineffective,Ineffective,Foot vs Horse,Asia,Polearm,False,False
952,1858.0,Thrust,Torso,Incapacitation,Incapacitation,Horse,Asia,Polearm,True,False
953,1858.0,Cut,Head,Incapacitation,Incapacitation,unspecified,Asia,Sword_cutting,True,False
954,1858.0,Cut,Hand,Ineffective,Ineffective,Foot vs Horse,Asia,Sword_cutting,False,False
955,1858.0,Cut,Leg,Incapacitation,Incapacitation,Foot vs Horse,Asia,Sword_cutting,True,False
956,1879.0,Cut,Hand,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
957,1879.0,Thrust,Torso,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
958,1880.0,Cut,Head,Death,,Foot,Asia,Sword_cutting,True,True
959,1880.0,Thrust,Torso,Ineffective,Death,Foot,Asia,Sword_cutting,False,True
960,1880.0,Thrust,Hand,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
961,1880.0,Thrust,Hand,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
962,1880.0,Cut,Head,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
963,1880.0,Thrust,Head,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
964,1880.0,Cut,Torso,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
965,1880.0,Cut,Torso,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
966,1880.0,Cut,Torso,Ineffective,Ineffective,Foot,Asia,Sword_cutting,False,False
967,1880.0,Cut,Head,Death,,Foot vs Horse,Asia,Sword_cutting,True,True
968,1857.0,Cut,Torso,Incapacitation,Incapacitation,Foot,Asia,Sword_cutting,True,False
